	평점	일시	감상평
1966	10	2020.01.11 23:35	방금 보고 나왔는데 지금까지 보았던 전투씬중 당연 최고이고 역사적인 사실이 잘 반영되었다
1967	10	2020.01.11 23:31	시작부터 끝까지 놓칠 장면이 없다.
1968	10	2020.01.11 22:52	애써 꾸미지않아 더 감동적인 영화였어요
1969	10	2020.01.09 19:33	베스트 짱이에요 진짜 잘생겼음...영화 내 영상미도 좋고 흥미진진했음 배우들 연기력도 좋고 시간가는줄 모르고 봤네용
1970	10	2020.01.09 12:32	올겨울 개봉한 영화 중 젤 재밌음
1971	10	2020.01.09 01:29	미국인도 아닌데 미국국뽕 맞은듯한건 덤...그치만 백두산보다는 훨 나음간만에 재밌는 전쟁액션영화 즐김
1972	10	2020.01.08 23:49	CG도 어색하지 않았고 액션 위주의 재미를 더한 영화였습니다. 역사를 알 수 있어서 더욱 좋았습니다.
1973	10	2020.01.05 11:06	숨도 못쉬고 봤습니다백두산보고 암걸렸다가미드웨이보고 완치되었습니다
1974	10	2020.01.05 00:49	썅두산은 반성해라 이게 영화지
1975	10	2020.01.04 15:12	라이언일병 구하기 이후 가장 잘 만든 전쟁영화 입니다 극찬하고싶네요
1976	10	2020.01.04 03:55	진주만 보다 100만배 잼있다 꼭 보세요  ㅋㅋ
1977	10	2020.01.04 01:25	이런게 영화입니다. 한국은 미국영화 따라가려면 아직 갈길이 먼것 같아요. 몇개빼곤 다 실제로 촬영하신거같은데 정말 대단합니다. 통쾌하게 박살내는 장면이 너무 인상적이었고 10점도 부족한 영화입니다.배우 하나하나 너무 연기도 훌륭했습니다. 
1978	10	2020.01.03 02:32	일본에서는 개봉하냐??  일본사람들 많이 봐야 할건데.. 일본눔들은 이런건  꼭  개봉금지 시키더라.
1979	6	2020.01.02 02:52	볼만했어요~~~~!!
1980	10	2020.01.01 13:13	시간이 흘러도 다시 보고싶은영화.
1981	10	2020.01.01 12:47	예고편을 보고 약간의 의문이 있었으나 실제로 보니 태평양 항공전을 다룬 영화중에는 최고임.두려움을 모르는 디버스테이터 파일럿 들에게 경의를 표함
1982	10	2019.12.31 23:02	즐길거리가 충분한 영화네요!!!백두산 대신 선택한 보람이 있었습니다
1983	10	2019.12.31 22:22	백두산 보다 백배 재밌음136분이 금방 지나감
1984	9	2019.12.31 22:15	시간 순삭! 이게 영화지!!! 백두산은 반성하자
1985	10	2019.12.31 21:34	우리나라만  백두산이 200석 이상 스크린을 독점하고미국 박스오피스 1위를 계속 달리고 있는 대형영화를100석따리 스크린만 상영하네..뭐 이런 개같은 경우가 다있냐하아....이런 스케일은 스크린이 커야하는데....
1986	10	2019.12.31 17:05	백두산도 보고 미드웨이 둘다봤지만 백두산보다 훨씬 재밋습니다. 강추!!!!
1987	10	2019.12.31 14:49	좃두산 씹 압살해버리네 ㅋㅋ
1988	6	2019.12.31 13:26	배우들 연기는 굿! 근데 예상한것보다 일본 안쳐부셔서 아쉬움. 미드웨이해전에 참전했던 분이 일본 항모에 그려진 일장기보고 맞히기 좋은 과녁이라고 했다네요. 영화보니 정말 그렇게 보임. 암튼 보면서 사무라이 어쩌고 하는거 너무 꼴보기 싫었음. 
1989	2	2020.02.22 15:43	이런 삼류 영화를봤나 CG를 가위로 오려부쳤네
1990	10	2020.01.09 00:42	미국 최고 ㅡ 봉오동 전투 이런거 말고 미드웨이 봐라
1991	8	2020.01.01 00:14	줫도 재미없는 반미친북영화 백두산 그만 좀 틀고 전투씬,몰입도 전부 개쩌는 미드웨이 상영관 더 늘려라
1992	10	2019.12.31 19:20	아니 진짜 남친이랑 이거 보고 방금 나왔는데..전쟁영화 싫어하는데 와.... 개재밌다 미쳤다 그냥 보는 내내 몰입해서 봄... 왜 남자들이 전쟁영화 보는지 좀 이해하게됨.. 무조건 보세요 제발요
1993	10	2019.12.31 17:54	이런게 영화지..국뽕맞은 백두산은 에휴..
1994	2	2020.01.04 01:25	글쎄 재미가 없네..좀 지루하네.. 마지막에 뭐 있을줄 알았는대 암것도 없네... 폭탄은 다 피해가네.. 뭐지... ㅠ
1995	10	2020.01.03 00:09	일본이 좌절하면 역시 짜릿해. 새로워. 최고야
1996	10	2019.12.31 17:51	백두산 볼 돈으로 이영화를 보세요.. ^^
1997	7	2019.12.31 10:57	줄거리는 약하지만 전쟁씬은 예술임, 남자들은 좋아할만한 영화임, 여자들은 싫어할 듯
1998	1	2020.01.05 00:23	진짜... 미드웨이 전쟁을 ....
1999	1	2020.01.04 01:30	일본 조져주는줄 알았더니 미화시켜주는 영화. 그 시절 그들의 악랄함은 최저로 조명하고 처음부터 마지막까지 품위있게 그려준다.
2000	10	2020.06.21 22:36	키야.. 선녀들에서 역사를 설명해주니 영화 장면들이 머릿속에서 지나가네. 한번 더 봐야 겠어요
2001	10	2020.06.16 23:39	이 영화를 욕하는 사람들은 친일파후손들....그런대 일본은 미국에 핵미사일 존재를 몰랐던건가?무슨생각으로 미국을 건들여서 개박살 난걸까
2002	7	2020.06.13 14:34	왜놈들 겁나 띄워주네. 역사상 단 한 번도 정정당당하게 전쟁 해본 적 없는 족속들. 매번 기습과 야비한 행태로 전쟁 수행. 그러한 야비함과 운으로 러시아랑 중국 조졌다고 미국한테 덤볐다가 큰 거 두 방 먹었죠? 영화서처럼 용감하거나 멋진 족속들이 아님. 뒤에서 야비하게 행동하고 겁많고 말도 안 되는 자만감이 팽배한 쓰레기 집단. 
2003	10	2020.06.02 06:52	고증도 좋고 연출력이 뛰어남.전투씬은 아찔하고 최고였다.
2004	9	2020.05.16 01:53	일단 이 영화를 아직 안 본 분이 있다면, 태평양 전쟁에 대해 공부를 하고 오길 바란다. 유튜브에 &#39;토크멘터리 전쟁사 태평양 전쟁&#39;치면 이 미드웨이 해전에 대해 쉽고 간략하게 설명하는 영상 있으니 꼭 보시길. 영화가 아니라 다큐멘터리에 가까운 수준이어서, 역사적 지식이 전무할 경우 자칫 노잼으로 보일 수 있다. 그러나 역사 공부를 미리 하고 간다면, 영화 전개됨에 따라 분명 재미를 느낄 것이다. 그만큼 역사적 고증이 잘 되어있다. 영화는 미드웨이 해전만 다룬게 아니라 전쟁 전-진주만 공습-둘리들 작전-미드웨이 해전까지 태평양 전쟁 전반부를 다루기 때문.   그리고 이 영화가 맘에 든 점은 일본 해군 입장에서도 영화가 전개된다는 것이다. 그래서 더욱 감정이입이 잘 된다. 전세계 최강의 해군을 보유했던 일본이, 왜 미국한테 무너지는지 알 수 있으니. 또, 일본군이라고 마냥 나쁘게 묘사되지는 않고, 군인정신이 투철한(어찌보면 고지식하고 답답한)일본군도 보인다. 쿠니모토 준이 연기한 함장처럼. 그래서 영화가 아니라 다큐에 가깝다고 평하는 것이다. 뭐, 무작정 일본을 혐오하시는 분들은 맘에 안 들겠지만, 난 이렇게 국뽕 일뽕 미뽕 그 무엇도 없는 전쟁 영화가 좋다. 
2005	8	2020.05.15 03:38	용맹하게 쪽바리 함대를 쳐부순 최강좌지(딕베스트) 님께 이 영화를 바칩니다
2006	8	2020.05.02 18:56	재미있게 보았습니다. 영화관에서 봤다면 더 영상이 좋았을 듯. 스토리가 산만하지만 볼만한 전쟁영화 ^^
2007	10	2020.04.29 23:40	쩐다. 이 말 말고 더 뭘 할 수 있나.이후의 스토리를 텍스트 몇 줄의 후일담으로밖에 볼 수 없던게 아쉬울 뿐.쩐다
2008	7	2020.04.26 23:20	세계2차대전의 우리가 잘 몰랐던 전투를 알게 된다. 어느 전쟁터이든 승리를 위해서는 수 많은 희생이 바탕에 있다는 것을 알아야 한다. 실화래서 무섭고 안타깝고 대단해보인다.
2009	10	2020.04.26 10:18	기대없이 보기 시작했는데 2시간15분이 금방 지나갈 정도로 재밌게봤습니다
2010	7	2020.04.13 13:07	실화바탕이라그런지 몰입되지않는 등장인물이 조금 많은게 흠. 그래도 기본기 충실하고 비행이 액션이 죽여줌.
2011	7	2020.04.12 06:16	꽤 괜찮은 고증영화.
2012	8	2020.04.10 12:29	영화관에서 못본게 아쉽다 스케일 대단하다
2013	10	2020.04.10 00:11	롤랜드 에머리히 감독다운 화려한 영상미가 영화를 가득 채웠다. 전쟁영화 하면 마지막 전투신이 좋았다 등등 잠깐의 거대한 총력전이 클라이맥스를 만드는데, 이 영화는 보는 내내 눈을 뗄 수 없게 만든다. 의심말고 보세요. 
2014	6	2020.03.29 20:59	함대와 전투기간 전투 장면은 훌륭했으나 내용은 전체적으로 지루했다. 영화를 보면서 무엇 때문에 왜 싸우는지 알 수가 없다. 전략상 무엇이 중요하고  상대방의 의도는 무엇이며 이를 숨기거나 간파하고 그래서 어떻게 대응하고 격파한다는 내용이 없다보니 긴장감이 전혀 없다. 그냥 단순히 전투기 날려서 적함을 발견하고 공격하고 용감하게 싸운 훌륭한 군인들이 많았구나 하는 국방부 홍보영화로 끝났다.등장인물의 개인적인 활약은 치열한 전투장면에서 충분히 보여주었으므로 이에 부수되는 용기와 두려움에 관한 내용, 가족의 염려와 애타는 마음에 관한 접근은 오히려 영화의 완성도를 떨어뜨리는 불필요한 내용이다. 차리리 두 나라 지휘관의 치열한 전략과 전술, 정보수집과 암호해독 그리고 그 전략을 풀어나가는 작전 목표와 내용 설명과 그래서  조종사들은 왜 출격하고 어떻게 싸워야 하며 그 결과로 어떻게 전쟁상황이 바뀌는지에 관한 내용에 충실했으면 긴장감이 있고 더 좋았을 것이다. 
2015	8	2020.03.26 14:30	함대와 전투기간 전투 장면은 훌륭했으나 내용은 전체적으로 지루했다. 영화를 보면서 무엇 때문에 왜 싸우는지 알 수가 없다. 전략상 무엇이 중요하고  상대방의 의도는 무엇이며 이를 숨기거나 간파하고 그래서 어떻게 대응하고 격파한다는 내용이 없다보니 긴장감이 전혀 없다. 그냥 단순히 전투기 날려서 적함을 발견하고 공격하고 용감하게 싸운 훌륭한 군인들이 많았구나 하는 국방부 홍보영화로 끝났다.등장인물의 개인적인 활약은 치열한 전투장면에서 충분히 보여주었으므로 이에 부수되는 용기와 두려움에 관한 내용, 가족의 염려와 애타는 마음에 관한 접근은 오히려 영화의 완성도를 떨어뜨리는 불필요한 내용이다. 차리리 두 나라 지휘관의 치열한 전략과 전술, 정보수집과 암호해독 그리고 그 전략을 풀어나가는 작전 목표와 내용 설명과 그래서  조종사들은 왜 출격하고 어떻게 싸워야 하며 그 결과로 어떻게 전쟁상황이 바뀌는지에 관한 내용에 충실했으면 긴장감이 있고 더 좋았을 것이다. 
2016	9	2020.03.12 09:26	엄청난 연출만으로 볼 가치는 충분하다.
2017	8	2020.03.09 02:42	볼만한 영화임. 역사적인 부분도 잘 드러나있고 연출도 깔끔하며 전투씬도 박진감 있음. 다만 단점이라면 지나치게 깔끔한 연출. 전쟁 한가운데인데 배우들 얼굴은 스튜디오 한가운데인듯 너무나 깔끔하고 수려하며 cg도 극사실을 추구하기보다는 합리적 수준에서 타협한 듯한 느낌. 엥간한 게임이나 tv드라마들도 철저한 고증과 훌륭한 특수효과들을 보여주는 요즘의 기준으로는 약간은 cg가 아쉽지 않나 싶음ㅋ 
2018	8	2020.03.08 03:14	유명한 배우들이 많이 나오고,. 무엇보다 실감나는 전투씬이 돋보였음.. 극장에서 못본게 너무 아쉬움...
2019	9	2020.03.05 00:48	일본을 전략적으로 농락하고 때려부수는 맛으로 보는 웅장한 전쟁 영화
2020	9	2020.03.01 23:37	
2021	8	2020.02.28 20:56	다큐같은 영화. 역사공부. 기대 이상의 전투신
2022	7	2020.02.27 20:57	생각보다 전쟁신이 부족했음. 기대보단 못한 듯
2023	6	2020.02.23 15:02	역사적 사실을 기반으로 만들어져 의미는 있지만비행 항모 전투씬이 반복되어 지루한 감이 없지않아 있음
2024	8	2020.02.23 01:19	끊어짐 없는 숨막힘의 연속... 일본제국주의를 바다에 수장시킨 미해군에 경의를!
2025	9	2020.02.22 17:28	국내 영화는 똥고 빨면서 쓸대없는 점수는 과하게 주는데 이런 의미있는 영화에는 진짜 너무 짜다 짜
2026	7	2020.02.15 23:27	스토리야 뭐 뻔하지만 현장감을 잘표현함
2027	7	2020.02.15 20:20	솔직히 라이언 진주만 bob같이 전쟁영화여도 어느정도 드라마가 있어야 재밌는데 그냥 영상에 올인해서 재밌지는 않았음
2028	6	2020.02.15 19:49	전투씬은 훌륭한데, 그 앞뒤가 보기 힘겹다
2029	5	2020.02.15 00:32	영화가 아니라 다큐 같고 스토리 전개에 있어 많이 아쉬운 영화. CG액션이 전부
2030	7	2020.02.14 11:39	아니 근데, 거 공습씬이 20년전 영화 진주만보다 못한건 좀 너무한거 아니오.
2031	5	2020.02.11 20:24	중국 자본이 섞인것 치곤 별다른 거리낌은 없었으며 전투씬만 놓고봐서는 평타는 쳤다
2032	9	2020.02.11 03:00	영상미가 참 좋은 이 영화를 tv로 보는게 아니라 영화관에서 직접 봤으면 하는 후회가 듭니다. 실화를 바탕으로 만든 영화답게 시나리오 탄탄하고 몰입감 매우 좋습니다.
2033	5	2020.02.10 21:25	배우들 연기가 몰입을 방해합니다 전투중인데 말투가 조곤조곤...
2034	6	2020.02.10 01:50	연출은 많이 산만한편 그러나 당시 긴박했던 전투 상황을 잘표현했다 그 부분은 높이 평가
2035	7	2020.02.09 12:01	평소 관심있던, 태평양전쟁의 분수령이 되었던 그 중요한 해전이 컴팩트하면서도 비교적 담담한 시선으로 각색되었다는 점은 맘에 든 부분. 다만 아쉬운점은, 영화내내 스릴 넘쳤던 빗발치는 대공포탄을 뚫고 들어가는 모습들이 사실은 거의 과장된 내용이라는 점. 
2036	8	2020.02.08 12:25	당시 시대를 잘표현한거같습니다
2037	8	2020.02.08 04:53	시간을 조금 줄였다면 좋았을듯
2038	9	2020.02.07 20:44	전형적인 전쟁영화지만  비행기수직낙하씬이 압권이고 중간중간 지루한 대사장면들이 난입하지만 마지막 전쟁씬에 이어지는 엔딩장면이 감동적임 ㅡ
2039	6	2020.02.06 22:50	액션장면은 죽여주는데 조금 지루한 부분도 많다. 뭔가 우리나라 인천상륙작전 영화 느낌이랄까 뭔가 다큐도 아니고 액션영화도 아닌느낌이랄까
2040	9	2020.02.06 01:23	기대 안하고 봤는데 전투신 상당히 스케일 크고 볼만 합니다. 단 중간중간에 옆길로 빠지는 스토리는 조금 아쉽네요.
2041	9	2020.02.04 20:22	스케일만 크지 그저 그런 감독인 롤랜드 에머리히가 가끔씩 투모로우처럼 두고두고 찾아보게 되는 수작을 만드는데 이 영화가 그런 영홥니다. 팩트를 바탕으로 어설프게 스토리 덧대지 않고 제대로 된 볼거리를 만들었습니다. 간만에 피가 끓네요. 
2042	9	2020.02.04 00:17	전쟁이라는 비극적인 주제를 양측의 입장에서 멋지고 잔잔하게 그려냈네요
2043	7	2020.02.04 00:12	전투 장면은 정말 실감나네
2044	8	2020.02.03 10:12	오랜만에 영화다운 영화 본 거 같습니다.부모님 모시고 갔는데 두분 다 재미있게 보셨습니다.
2045	9	2020.02.03 06:53	미드웨이를 보기전에 미드웨이 해전에 대해 적당히 알고있는게 좋음. 내용을 알고보면 재밌었음 근데 뭔내용인지 모르면 설명이 빈약해서 뭔소린지 모를듯. 여튼 난 재밌었음
2046	9	2020.02.02 04:12	이런 영화에 출연하는 일본 명배우들의 용기도 칭찬해야 함
2047	8	2020.02.01 20:04	전장에서의 지휘관의 판단이 얼마나 중요한가를 알았다
2048	6	2020.02.01 15:28	전투기 전투씬만은 볼만 함~ 푱식이는 뇌없이 총알 사이로~ 박푱시기는 밥은 먹고 다니냐? ㅋㅋㅋ
2049	6	2020.02.01 07:01	전투신 말고는 볼게 없다~
2050	9	2020.01.31 23:44	재미있습니다~그리고 2차대전 역사도 알수있는~좋은 영화~^^
2051	9	2020.01.30 22:04	킬링타임용인줄 알았는데 아니네~ 기대이상!
2052	8	2020.01.28 21:04	전반적으로 좋은 작품입니다만 너무 기대를 해서 그런지 다소 밋밋한 느낌이 드네요.
2053	8	2020.01.28 13:27	빗발치는 대공포를 정면으로 맞서는 그들의 용기가 결국 그들의 조국을 지켜냈다..감동이라기 보다는 경건함을 느끼게 해주는 영화..^&^
2054	8	2020.01.27 20:53	진주만에 이은 미드웨이전. 간만에 나온 2차대전 해전 태평양전쟁사라서 기대감이 상당하였고 기대에 부흥했다. 오히려 진주만에 있던 로맨스를 빼버리고 순수 전투만 넣어서 밀덕들에게 만족스러웠던 영화. 단 밀덕들이나 역덕들이 아니고선 다른 관객들에게 불친절한 정도로 전개속도가 빠르고 중간중간 전쟁진행상황이나 전시상황을 스킵한 것들이 엄청나다. 이 영화는 사전지식을 가지고 보는것과 모르고 보는것과 감상평과 느낌이 확연히 다를 것 같다.중국자본이 대거 투자된 영화임에도 흐름이나 전개, 연출의 끊임과 막힘 없이, 터치도 없이 아주 좋게 자본 투사가 된 영화중 하나가 될 것. 
2055	7	2020.01.27 17:55	역사상 모르던 상황을 알게 되었고, 군인들의 섬세한 감정도 공감할수 있었습니다, 남자들이 스트레스 풀기 좋은 영화인듯
2056	10	2020.01.27 00:31	말이 필요없다 너무 멋있다
2057	10	2020.01.27 00:20	간만에 꿀잼영화다 진짜 ㅋ
2058	10	2020.01.26 23:25	영화 내용은 거의 다큐멘터리 수준. 미드웨이 해전을 단순히 &#39;일본의 진주만 공격에 대한 미국의 복수&#39;라고 칭하기엔 그 내용이 너무나도 중요하다. 왜곡된 역사와 보안의식을 선동하는 백두산 따위 영화보다 100만배는 더 볼만한 가치있는 영화다. 한국인인게 부끄러울 정도였음. 상영관 수를 좀 늘려서 정정당당하게 경쟁했으면. 
2059	10	2020.01.26 23:06	
2060	10	2020.01.26 15:44	이거 왜 평점이 10점이 안됨?
2061	10	2020.01.26 13:24	보는 내내 내가 직접 전쟁 현장에 있는 듯한 느낌이었다. 미군은 물론 일본군의 대사 한마디 한마디도 울림이 있었으며 가족애도 적절한 비중이었다. 군에서 각자의 역할의 조화가 얼마나 중요한지 보여주는 영화. 이를 통해 군대뿐 아니라 사회구성원 각자가 자신의 위치에서 최선을 다하는 것 또한 얼마나 중요한지를보여주는 영화.  생각할 거리를 많이 제공하는 뭉클한 영화임. 
2062	10	2020.01.26 12:01	최고다 외국전쟁영화중 탑10안에 들정도로 정신없이 지나가서 굉장히 집중하고 봐야함~
2063	6	2020.01.26 12:01	영화가 끝날 때까지 쪽바리들한테 핵으로 참교육해주는 것만 기대했건만..
2064	10	2020.01.26 11:15	역쉬 스케일맘에들엇어재밌음
2065	9	2020.01.26 11:13	몰입도 재미 영상미 3박자를 갖춘 영화. 영화적 표현만을 가미한 현실주의 역사영화. 시간적 흐름과 공간적 이동을 잘 표현한 영화. 빠른 전개로 인해 집중할 수 밖에 없는 전개.
2066	9	2020.01.26 10:14	바다가 기억하는 최고의 영화
2067	10	2020.01.26 02:16	나는 지금까지 미드웨이해전 쉽게 이긴 줄 알고있었어요 베스트 너무 죠아
2068	9	2020.01.25 23:59	역사를 기반으로 찍은 영화라 재밋게 봣다. 항모에서 비행기가 내릴때 아슬 아슬 하며 나도 모르게 상황에 빠져 든다.
2069	10	2020.01.25 23:43	
2070	10	2020.01.25 23:32	사실상 태평양전쟁 상편
2071	9	2020.01.25 23:22	작전과 드라마와 액션이 적절히 조화를 이루면서 미국군의 활약상이 장엄하게 펼쳐지지만 일본군을 모지리처럼 묘사하지 않았음.전투씬은 시원하고 장교와 병사들의 활약도 멋있고 감동적임.
2072	10	2020.01.25 22:54	광복의 숨은 아버지 나구모 제독님 고맙습니다.
2073	8	2020.01.25 14:27	정찰기를 띄워 서로의 항모를 찾는 과정에서의 미군의 행운과 일본의 불운.  일본이 뒤늦게 미항모를 발견하여 발생된 혼란 등 미드웨이 해전에서 승부를 가른 결정적인 대목에 대한 스토리가 다소 떨어지는거 같다.
2074	10	2020.01.25 00:44	
2075	10	2020.01.24 18:46	아주 쉴틈없는 전투영화임
2076	10	2020.01.24 17:27	
2077	8	2020.01.24 16:11	세계2차대전의 종지부를 찍는 해전~
2078	10	2020.01.24 15:31	
2079	10	2020.01.24 13:03	
2080	9	2020.01.24 11:40	게임 1942 실사판 굿
2081	7	2020.01.24 08:12	재미있습니다...
2082	10	2020.01.23 23:22	
2083	9	2020.01.23 21:28	오우, 쉣, 오랫만에 지리는 전쟁 비행기 액션 영화 봤네, 처음부터 끝까지, 쉴틈없이 날라다니면서 스펙타클함 긴장감도 굿
2084	10	2020.01.23 21:10	진짜 최곱니다. 무조건 보셔요 극장에 올린 영화들 중에서 제일 퀄리티 괜찮음
2085	10	2020.01.23 17:33	
2086	8	2020.01.23 09:09	전쟁은 정말.. 무섭구나라는걸 느낌
2087	8	2020.01.23 02:04	좀 아쉽다~제작비만 더 있었어도 역대급인데ㅋ전쟁영화인데 생각보다 전쟁씬이 별로 없어서 아쉬웠다 전쟁의배경에 대해 다뤄준건 좋았지만 흐름이 매끄럽지않고 중간중간 끊기는 느낌이고 뭔가 빠진듯하다 영화라기보담 약간 다큐같은 느낌 완벽한영환 아님 전투씬은 내가 참전한듯한 느낌이 들어 볼만했다 
2088	7	2020.01.22 23:43	이야기에 힘을 빼고 전투 장면에 집중
2089	9	2020.01.21 13:18	너무 투박해서 처음에는 이게 뭐야 했는데 끝날때는 이 영화의 매력이 투박한게 매력이었음... 질질짜고 할 시간에 진짜 뭘해야되는지 알려줌...
2090	6	2020.01.20 17:31	태평양 전쟁의 가장 큰 전환점이라 할 수 있는 미드웨이 해전이 전개되기 까지의 과정을 흥미롭게 볼 수 있었다. 중간중간에 일본 제국주의의 잔학성도 일부분 볼 수 있었고. 비록 애국주의 영화지만 2001년 진주만 보다는 괜찮았음. 
2091	5	2020.01.20 15:58	좀 통퀘하게 복수좀하지 아군 다죽고 힘들게 복수하고끝에 왠 쪽바리가  감동주는 장면은 뭐냐? 짜증나네 좀
2092	8	2020.01.20 15:26	
2093	7	2020.01.19 20:03	잘봤습니다...2차대전 이야기는 항상 재밌음
2094	7	2020.01.19 16:05	왜 왜구들이 전쟁에 질 수 밖에 없었는지를 알 수 있는 영화
2095	9	2020.01.19 15:19	역사 고증을 잘 한 편에 속한다고 생각하고요, 그러나 영화 취향에 따라 좀 지루하게 보는 사람도 있습니다. 약간 다큐멘터리 같은 느낌이 없지않아 있기 때문에. 그러나 저는 영상미도 좋았고 액션도 전쟁영화에서 바랄 만큼은 대부분 충족 됐다고 보기 때문에 괜찮았네요. 스토리도 뭐 나쁘지 않습니다. 그러나 결정적 한방은 부족합니다. 아무래도 실제 일어난 역사적 사실이기 때문에 한계가 있었겠죠 영화적인 것으로서의 재미를 만들기에는. 저는 재미있었습니다. 
2096	8	2020.01.19 06:05	2차세계대전의 패전국 일본을 본다
2097	9	2020.01.18 23:43	
2098	8	2020.01.18 23:10	전쟁영화여서  뻔할줄  알았는데  몰입해서  봤음 나름 의미있는 영화였음
2099	9	2020.01.18 22:47	수작입니다. 영화 진주만보다 나았고 시간가는 줄 모르게 몰입도가 좋았어요. 9점주고 싶네요!
2100	9	2020.01.18 19:17	째패니즈 쉽 펑펑펑~ 그것만으로도 익사이팅 하지않은가 ^^
2101	9	2020.01.18 15:16	관람평에 비해 생각보다는 괜잖았다. 평점이 높지 않아서 살짝 고민했는데 실제 관람했을때는 구성도 탄탄하고 재미있었다.
2102	9	2020.01.17 22:33	전쟁영화 좋아하시면 누구나 좋아할 듯 합니다.진주만이 재밌었다면 무적권입니다ㅏ.
2103	10	2020.01.17 19:49	아들과 함께 보았는데 정말 상영내내 집중해서 보았음. 지루함이 1 도 없었음
2104	8	2020.01.17 08:43	아주재미있게봄 외국영화는 짱
2105	8	2020.01.16 22:29	일부 늘어지는 장면이 있긴 했지만, 매우 사실적인 고증과 실제등장 인물의 싱크로율 극대화로 몰입감이 높은 작품. 특히 밀덕분들이 이영화를 본다면 미드웨이 출전한 미일 해군항모와 전투기 모형을 만들고 싶을 것이다!!
2106	8	2020.01.16 19:17	
2107	7	2020.01.15 18:01	무난한 역사 사극.
2108	9	2020.01.15 15:53	전쟁장면에 몰입해서 봤지만 그게 전부 그래도 그것만으로도 시간이 아깝진 않았다
2109	9	2020.01.15 09:36	
2110	9	2020.01.14 23:18	재밌었어요극적인면은 쪼금 덜한느낌이지만 과한것보다 나은것같아요 굿!
2111	8	2020.01.14 21:31	
2112	6	2020.01.14 19:01	흥미진진한 내용은아니지만 스케일이나 영상면에선 괜찮은듯^^;
2113	6	2020.01.13 21:58	극장에서 보길 잘했네요. 긴장감있는 전투씬!!백두산보다 잼나요
2114	8	2020.01.13 21:12	극장에서 보길 잘했네요. 긴장감있는 전투씬!!백두산보다 잼나요
2115	8	2020.01.11 15:24	현재에 감사하게 된다. 리얼이 아닌 스크린으로 보니까
2116	8	2020.01.11 14:46	일본의 진주만 기습으로 시작해서 미국의 미드웨이 해전 승리로 끝납니다.
2117	10	2020.01.11 11:11	
2118	9	2020.01.11 02:09	역사의 한 획을 그은 전투, 우리나라를 광복으로 이끈 전투중 하나.연기랑 영상미, 연출 다 좋고  2시간 남짓한 시간에 미드웨이 전투의 기승전결을 잘 보여준 영화. 다만 언질로 슬쩍 전달해도 될 장면을 구태여 넣어 태평양 전쟁의 흐름과 양상을 잘 모르는 사람에겐 궁금증일 유발시키고 흐름을 막아서 좀 아쉽네요. 
2119	10	2020.01.11 00:54	어메이징 전투신과 생동감있는 영상,사운드는 전투현장에 있는듯 했음.마지막 함대 일장기 정조준 폭격에 나도모르게 박수가 터짐.ㅋㅋ이 영화속 실존 전쟁영웅들에게 경외심을 갖게되었음.찐 최 고!!!
2120	10	2020.01.10 21:49	
2121	8	2020.01.10 17:26	비행기 항공모함 격침 멎찜 일본배
2122	8	2020.01.10 17:26	비행기 항공모함 격침 멎찜 일본배
2123	9	2020.01.10 11:42	영상미가다했다 주인공존멋
2124	8	2020.01.10 09:15	역사공부도  되고  재밌는  영화
2125	7	2020.01.09 23:43	스토리가 좋았고 내용도 재밌었어요잔인한건 딱히 없구 그냥 저냥 재미있어요볼만해요
2126	8	2020.01.09 13:07	흥미로운 지점은 너무 많고, 상영 시간은 너무 짧고. 다 포기 못한 덕분에 이야기가 듬성듬성 넘어가는 부분이 많습니다.
2127	9	2020.01.09 12:54	여러가지 전쟁을 한 영화에 담으려고 해서 좀 어수선한 감은 있었지만 몰입해서 완전 재밌게봄. 꼭 추천입니다. 스케일이 역시. 미국이네요 .영화보고 미뽕맞고 왔어요
2128	7	2020.01.09 12:00	해전을 기가막히게 잘 표현했습니다.다만 역사적 상식이 전혀 없는 상태에서 보니, 초반에 조금 지루했습니다.
2129	8	2020.01.09 10:55	백두산보다 백배 낫다~딱 한마디~강추합니다.
2130	9	2020.01.09 00:38	
2131	8	2020.01.08 21:55	전쟁영화다.전쟁 영화중 전투기와 항공모함의 전투씬이 대부분이라 스케일이 어마어마 하다.초반은 약간 지루 할수 있다. 하지만 전투씬 만큼은 진짜 볼만하고, 돈이 아깝진 않다. 추천한다. 그리고 어디 한쪽이 악역이라기 보다, 마치 정글같은 전쟁 느낌이 컷다. 
2132	9	2020.01.08 21:16	영화 재밌게 봤어요..전쟁영화가 처음이라 그런지 시간 가는줄 모르고 봤습니다.
2133	9	2020.01.08 20:46	여러가지 의미에서 속시원 ^^)/ 덩케르크보다 재밌었다
2134	9	2020.01.08 18:51	
2135	9	2020.01.08 18:26	실화라 그런지 공감이되고 스케일도 재미나게 봤네요
2136	9	2020.01.08 17:01	예고편보다 cg가 괜찮았고, 일본 항모를 격침시키기 위해서 급강하 폭격하는 장면에서는 내 몸이 움찔대더군요. 괜찮은 영화에요. 백두산에서 실망한 것 미드웨이에서 복구했어요
2137	9	2020.01.08 16:26	일단 스케일이 크고 그 역사속의 한가운데로 빠져드는 흡입력있는 영화
2138	9	2020.01.08 16:15	재밌음 천조국 국뽕 짱짱맨 ㅎㄷㄷ
2139	9	2020.01.08 14:49	스케일이나 액션면에서 좋았어요
